timestamp,sport,market_type,kalshi_ticker,teams,event_time,kalshi_yes_price,kalshi_no_price,sharp_prob,edge_pct,side,kalshi_volume,num_books,time_to_event_hours,line_movement
2026-02-17T17:17:34.401463+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.405156+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.414631+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.415019+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.415216+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.415541+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.415740+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.415876+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.416008+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.416144+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.416298+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.416450+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.416580+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.416709+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.416831+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.416951+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.417073+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.417205+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
2026-02-17T17:17:34.417383+00:00,basketball_nba,moneyline,TEST-001,Team A vs Team B,2025-06-01T00:00:00+00:00,0.45,0.55,0.55,5.0,yes,200000,5,24.0,0.0
